es_recall_wer	duration	translation_semantic
0.20833333333333337	6.06	0.7445986200000001
0.0	6.47	0.7445986200000001
0.12903225806451613	5.86	0.7445986200000001
0.2222222222222222	5.87	0.7445986200000001
0.19047619047619047	6.14	0.7445986200000001
0.125	6.06	2.611049397
0.11111111111111116	6.47	2.611049397
0.19354838709677424	5.86	2.611049397
0.0	5.87	2.611049397
0.09523809523809523	6.14	2.611049397
0.5416666666666667	6.06	7.041759140000001
0.18518518518518523	6.47	7.041759140000001
0.4838709677419355	5.86	7.041759140000001
0.5555555555555556	5.87	7.041759140000001
0.6190476190476191	6.14	7.041759140000001
0.25	6.06	2.4817570210000004
0.07407407407407407	6.47	2.4817570210000004
0.032258064516129004	5.86	2.4817570210000004
0.16666666666666663	5.87	2.4817570210000004
0.04761904761904767	6.14	2.4817570210000004
0.08333333333333337	6.06	1.022333244
0.0	6.47	1.022333244
0.09677419354838712	5.86	1.022333244
0.05555555555555558	5.87	1.022333244
0.04761904761904767	6.14	1.022333244
0.16666666666666663	6.06	5.33823218
0.07407407407407407	6.47	5.33823218
0.09677419354838712	5.86	5.33823218
0.16666666666666663	5.87	5.33823218
0.23809523809523814	6.14	5.33823218
0.20833333333333337	6.06	6.31803266
0.07407407407407407	6.47	6.31803266
0.09677419354838712	5.86	6.31803266
0.2222222222222222	5.87	6.31803266
0.23809523809523814	6.14	6.31803266
0.41666666666666663	6.06	6.480331025000001
0.2592592592592593	6.47	6.480331025000001
0.29032258064516125	5.86	6.480331025000001
0.2222222222222222	5.87	6.480331025000001
0.33333333333333337	6.14	6.480331025000001
0.04166666666666663	6.06	0
0.0	6.47	0
0.032258064516129004	5.86	0
0.0	5.87	0
0.1428571428571429	6.14	0
0.25	6.06	3.62672201
0.14814814814814814	6.47	3.62672201
0.09677419354838712	5.86	3.62672201
0.11111111111111116	5.87	3.62672201
0.23809523809523814	6.14	3.62672201
0.7916666666666666	6.06	10.198050259999999
0.2592592592592593	6.47	10.198050259999999
0.5806451612903225	5.86	10.198050259999999
0.7777777777777778	5.87	10.198050259999999
0.8571428571428572	6.14	10.198050259999999
0.5416666666666667	6.06	8.42916996
0.2222222222222222	6.47	8.42916996
0.19354838709677424	5.86	8.42916996
0.2777777777777778	5.87	8.42916996
0.5714285714285714	6.14	8.42916996
0.25	6.06	4.1226182300000005
0.07407407407407407	6.47	4.1226182300000005
0.032258064516129004	5.86	4.1226182300000005
0.16666666666666663	5.87	4.1226182300000005
0.19047619047619047	6.14	4.1226182300000005
0.33333333333333337	6.06	4.818756530000001
0.07407407407407407	6.47	4.818756530000001
0.29032258064516125	5.86	4.818756530000001
0.33333333333333337	5.87	4.818756530000001
0.5714285714285714	6.14	4.818756530000001
0.08333333333333337	6.06	4.877160492
0.0	6.47	4.877160492
0.032258064516129004	5.86	4.877160492
0.0	5.87	4.877160492
0.1428571428571429	6.14	4.877160492
0.125	6.06	3.8677421289999994
0.0	6.47	3.8677421289999994
0.16129032258064513	5.86	3.8677421289999994
0.05555555555555558	5.87	3.8677421289999994
0.04761904761904767	6.14	3.8677421289999994
0.125	6.06	3.9602215000000003
0.03703703703703709	6.47	3.9602215000000003
0.12903225806451613	5.86	3.9602215000000003
0.11111111111111116	5.87	3.9602215000000003
0.23809523809523814	6.14	3.9602215000000003
0.08333333333333337	6.06	5.698308236
0.0	6.47	5.698308236
0.19354838709677424	5.86	5.698308236
0.11111111111111116	5.87	5.698308236
0.09523809523809523	6.14	5.698308236
0.04166666666666663	6.06	2.02559349
0.0	6.47	2.02559349
0.0	5.86	2.02559349
0.0	5.87	2.02559349
0.1428571428571429	6.14	2.02559349
0.41666666666666663	6.06	4.493643090000001
0.18518518518518523	6.47	4.493643090000001
0.25806451612903225	5.86	4.493643090000001
0.38888888888888884	5.87	4.493643090000001
0.33333333333333337	6.14	4.493643090000001
0.0	6.06	3.3567901480000004
0.0	6.47	3.3567901480000004
0.032258064516129004	5.86	3.3567901480000004
0.0	5.87	3.3567901480000004
0.0	6.14	3.3567901480000004
0.20833333333333337	6.06	3.9680130799999995
0.0	6.47	3.9680130799999995
0.16129032258064513	5.86	3.9680130799999995
0.2777777777777778	5.87	3.9680130799999995
0.1428571428571429	6.14	3.9680130799999995
0.08333333333333337	6.06	1.9867419239999997
0.03703703703703709	6.47	1.9867419239999997
0.032258064516129004	5.86	1.9867419239999997
0.05555555555555558	5.87	1.9867419239999997
0.09523809523809523	6.14	1.9867419239999997
0.16666666666666663	6.06	3.1897266550000003
0.0	6.47	3.1897266550000003
0.06451612903225812	5.86	3.1897266550000003
0.16666666666666663	5.87	3.1897266550000003
0.23809523809523814	6.14	3.1897266550000003
0.125	6.06	1.0847856275
0.0	6.47	1.0847856275
0.06451612903225812	5.86	1.0847856275
0.0	5.87	1.0847856275
0.0	6.14	1.0847856275
0.08333333333333337	6.06	4.311393506000001
0.07407407407407407	6.47	4.311393506000001
0.06451612903225812	5.86	4.311393506000001
